team	points
Tsinghua_University_A	8
Universitas_Gadjah_Mada_C	10
Manchester_Debating_Union_(University_of_Manchester)_A	9
Pentecost_University_A	9
Yonsei_University_2	8
University_of_Colombo_School_of_Computing_A	8
Universidad_San_Francisco_de_Quito_DS	10
Hart_House_C	9
Chulalongkorn_University_A	9
De_La_Salle_University_B	8
Nanjing_university_XZ	9
University_of_Chicago_BP	10
Symbiosis_Law_School,_Pune_X	12
University_of_S\u00e3o_Paulo_A	9
Swing_2	8
IBA_DU_B	10
International_Islamic_University_Malaysia_4	11
The_University_of_Tokyo_KM	11
Royal_Institute_of_Colombo_1	12
Ateneo_de_Naga_University_A	10
University_of_Zagreb_E	8
University_of_Ghana_A	9
Western_University_B	11
Pontificia_Universidad_Cat\u00f3lica_de_Valpara\u00edso_A	10
Glasgow_University_Union_B	13
Glasgow_University_Union_D	9
Delhi_College_of_Arts_and_Commerce_A	9
San_Beda_University_-_Manila_A	9
Nanyang_Technological_University_B	10
The_University_of_Tokyo_SS	10
Imperial_College_London_C	9
University_of_Aberdeen_BF	9
TCD_Hist_A	6
Shanghai_International_Studies_University_1	11
Australian_National_University_C	10
Monash_University_E	7
Harvard_College_SY	9
Yonsei_University_3	7
Stanford_University_A	9
Cambridge_Union_Society_C	9
Macau_University_of_Science_and_Technology_MUSTB	10
Reichman_University_A	11
Chittagong_University_B	8
Thammasat_University_A	8
Monash_University_A	11
Universitas_Gadjah_Mada_A	9
Aalto_University_TL	9
Cornell_University_C	11
University_of_Energy_and_Natural_Resources_A	8
Imperial_College_London_B	12
E\u00f6tv\u00f6s_Lor\u00e1nd_University_A	9
New_York_University_Abu_Dhabi_A	8
\u0130bn_Haldun_University_E	8
Government_Law_College,_Mumbai_MM	9
University_of_Ottawa_A	8
University_of_Chicago_DW	8
Monash_University_C	8
Bangladesh_University_of_Engineering_and_Technology_A	8
University_of_Belgrade_E	11
International_Islamic_University_Malaysia_1	8
University_of_Ilorin_B	10
University_Philosophical_Society_B	10
University_of_the_Philippines_Los_Ba\u00f1os_D	11
Johns_Hopkins_University_AW	11
UT_MARA_A	9
University_of_Belgrade_C	7
Ateneo_de_Manila_University_e	7
International_Islamic_University_Malaysia_3	9
University_of_Aberdeen_DW	10
Diplomatic_Academy_of_Vietnam_B	8
University_of_Malaya_1	10
Hankuk_University_of_Foreign_Studies_A	10
Tel_Aviv_university_C	9
The_University_of_Tokyo_MI	9
Universitas_Surabaya_A	7
University_of_St_Andrews_B	9
TCD_Hist_E	8
Cambridge_Union_Society_D	8
University_of_Ilorin_A	10
University_of_Ghana_B	8
Universidad_del_Rosario_A	7
Queen&#x27;s_Debating_Union_(QDU)_B	9
Indian_institute_of_Technology,_Kanpur_IITK	8
BRAC_University_B	8
University_of_Arts_in_Belgrade_A	11
Royal_Institute_of_Colombo_2	9
Fudan_University_2	6
Fudan_University_1	10
University_of_Vermont_KS	10
BRAC_University_C	7
University_of_Vermont_GH	8
Mindanao_State_University_-_General_Santos_City_Campus_JK	6
Delhi_Technological_University_AK	9
Bates_College_AM	10
The_Open_University_of_Israel_A	11
University_of_Chicago_NK	12
Johns_Hopkins_University_AL	7
University_of_the_Philippines_Los_Ba\u00f1os_C	11
University_of_Zagreb_D	8
University_of_Belgrade_D	10
UT_MARA_B	8
University_of_Chicago_GJ	10
San_Beda_University_-_Manila_B	10
University_of_Macau_A	11
University_of_Ghana_C	7
Peking_University_A	7
the_Chinese_University_of_Hong_Kong,_Shenzhen_A	8
Durham_University_B	10
Qatar_University_B	9
Taylor\u2019s_University_A	9
National_Law_University_Odisha_(NLUO)_A	9
Seoul_National_University_2	8
University_Philosophical_Society_C	8
Durham_University_C	7
Korea_University_Debate_Club_C	6
Shanghai_University_of_Finance_and_Economics_(SUFE)_1	7
IBA_DU_A	8
Debate_Society_by_the_University_of_London_students_1	8
Beijing_Foreign_Studies_University_UFO	7
Beijing_Foreign_Studies_University_JE	6
Daulat_Ram_College_A	10
\u0130bn_Haldun_University_Peace_and_Ezeri	10
Waseda_University_A	8
The_University_of_Hong_Kong_A	8
University_of_Vermont_BW	8
Nanyang_Technological_University_C.	4
Beihang_University_1	5
University_of_Technology,_Jamaica_B	5
University_of_Energy_and_Natural_Resources_C	6
Sciences_PO_Campus_de_Reims_A	7
Khulna_University_of_Engineering_&amp;_Technology_1	6
Diplomatic_Academy_of_Vietnam_A	11
University_of_Nottingham_Debating_Union_A	7
Korea_University_Debate_Club_A	6
Diponegoro_University_A	10
Yonsei_University_1	7
Technion_B	8
Sunway_University_CE	8
University_of_Zagreb_F	7
Weizmann_Institute_of_Science_A	8
Symbiosis_Law_School,_Pune_B	6
Yonsei_University_4	8
Singapore_Management_University_EA	7
King\u2019s_College_London_C	7
Zhejiang_International_Studies_University_A	6
Haifa_University_B	9
TCD_Hist_D	8
University_of_Mataram_A	8
NNU(Nanjing_Normal_University)_A	9
National_Taiwan_University_A	7
Macau_University_of_Science_and_Technology_C	7
KNUST_SB	9
UT_MARA_D	8
Oxford_D	8
Vanderbilt_University_MW	7
Drexel_University_A	7
University_of_Queensland_(UQ)_B	7
Nazarbayev_University_(NU)_A	8
Hebrew_University_of_Jerusalem_C	8
Nazarbayev_University_(NU)_B	8
Institut_Teknologi_Bandung_B	4
UT_MARA_E	7
Habib_University_B	8
De_La_Salle_University_C	7
Habib_University_A	6
Peking_University_B	7
National_University_of_Juridical_Sciences,_Kolkata_B	6
University_for_Development_Studies_A	5
University_of_Cape_Coast_A	9
Beijing_Foreign_Studies_University_BY	8
UT_MARA_C	6
Split_debating_union_A	6
Diplomatic_Academy_of_Vietnam_C	8
Bangladesh_University_of_Engineering_and_Technology_C	6
Northeastern_University_at_Qinhuangdao_1	5
Oxford_E	5
University_of_Rajshahi_A	8
Universidade_Federal_do_Rio_Grande_do_Sul_-_UFRGS_A	7
Universidad_Nacional_de_Cuyo_Argentina	7
Shanghai_International_Studies_University_2	6
Bangladesh_University_of_Engineering_and_Technology_B	7
Bangladesh_University_of_Engineering_and_Technology_D	7
Split_debating_union_B	6
National_University_of_Juridical_Sciences,_Kolkata_A	7
Mahidol_University_International_College_A	5
Weizmann_Institute_of_Science_S&amp;S	6
Fulbright_University_Vietnam_A	9
North_South_University_A	3
\u0130bn_Haldun_University_A	5
Hebrew_University_of_Jerusalem_T&amp;Y	8
Singapore_Management_University_SM	8
ICU_Debating_Society_A	5
Universitas_Gadjah_Mada_B	6
Sociedade_de_Debates_da_Universidade_Federal_do_Cear\u00e1_A	5
North_South_University_B	5
Jahangirnagar_University_A	5
University_of_Energy_and_Natural_Resources_B	6
Akenten_Appiah_Menka_University_of_Skills_Training_and_Entrepreneurial_Development_A	5
University_of_Auckland_A	5
Chittagong_University_A	7
Reichman_University_B	7
Macau_University_of_Science_and_Technology_A	5
Chittagong_Medical_College_\u00c4	4
Peking_University_C	5
University_of_Malaya_3	9
University_of_West_Georgia_A	7
the_Chinese_University_of_Hong_Kong,_Shenzhen_XY	6
the_Chinese_University_of_Hong_Kong,_Shenzhen_DA	3
IBA_DU_C	5
Binus_University_A	6
Qatar_University_A	5
Shanghai_University_of_Finance_and_Economics_(SUFE)_2	6
University_of_S\u00e3o_Paulo_B	6
Hobart_&amp;_William_Smith_Colleges_LP	6
Imperial_College_London_D	5
Universidad_Tecnol\u00f3gica_de_Panam\u00e1_(UTP)_UTP	5
Georgetown_University_Qatar_A	4
University_of_Technology,_Jamaica_C	2
University_of_Santo_Tomas_1	8
Universitas_Negeri_Yogyakarta_A	5
International_Debate_Society_A	6
Beijing_Foreign_Studies_University_EC	4
Shahjalal_University_of_Science_and_Technology_A	6
Hang_Seng_University_of_Hong_Kong_A	3
Dhaka_University_A	4
Alex_Ekwueme_Federal_University_A	7
Singapore_Management_University_DF	7
University_of_Yaound\u00e9_II_A	6
Swing_3	2
Bangladesh_University_of_Engineering_and_Technology_E	4
Nanjing_university_GC	5
Premier_University,_Chittagong,_Bangladesh_Legacy	4
University_of_the_Philippines_Tacloban_A	4
Swing_Minto_&amp;_Colatto	3
Northeastern_University_at_Qinhuangdao_2	4
Manado_State_University_A	2
Universitas_Teknokrat_Indonesia_A	3
Nnamdi_Azikiwe_University_A	4
Delhi_Technological_University_C	4
Swing_4	2
University_of_Coimbra_A	4
City_University_of_Hong_Kong_A	4
An_Najah_National_University_A	3
Southeast_University_A	2
Universidad_Santa_Mar\u00eda_la_Antigua_(USMA)_LR	2
University_of_Technology,_Jamaica_A	1
Universidad_Nacional_de_Colombia_YS	0
United_Methodist_University_Liberia_A	0
F\u00e9d\u00e9ration_ha\u00eftienne_de_d\u00e9bat_A	0
Fourah_Bay_College_Debating_Society_DS	0
New_York_University_Abu_Dhabi_B	0
Pontifical_Catholic_University_of_Ecuador_(PUCE)_A	0
Tecnol\u00f3gico_de_Monterrey_A	0
University_of_Pretoria_B	0
Swing_5	0
Swing_6	0
