team	points
London_School_of_Economics_and_Political_Science_A	16
Vienna_A	14
University_of_Sydney_C	13
Visoka_Skola_Pep_A	16
BRAC_University_A	15
Imperial_College_London_A	14
National_University_of_Singapore_A	13
McGill_Debating_Union_A	14
Ateneo_de_Manila_University_A	15
London_School_of_Economics_and_Political_Science_C	15
Princeton_University_B	13
University_of_Chicago_KL	13
UNWE_A	15
University_of_the_Philippines_Diliman_b	11
Ateneo_de_Manila_University_B	13
Princeton_University_A	14
University_Philosophical_Society_A	14
Trivium_A	14
University_of_Sydney_D	11
Christ_University_A	14
Harvard_College_HT	13
Edinburgh_University_Debates_Union_A	13
University_of_Alberta_Debate_Society_B	12
Western_University_A	12
University_of_Zagreb_C	12
Sofia_University_A	16
University_of_Sydney_B	15
University_of_the_Philippines_Diliman_A	14
University_of_Sydney_A	13
King\u2019s_College_London_A	13
Harvard_College_KL	12
University_College_London_PP	11
Australian_National_University_A	12
Yale_University_A	13
Glasgow_University_Union_A	13
Oxford_B	13
Cornell_University_A	12
Victoria_University_of_Wellington_1	11
National_University_of_Singapore_B	12
Sunway_University_SW	10
Princeton_University_D	12
Glasgow_University_Union_C	11
Nanyang_Technological_University_A	10
University_of_Wollongong_A	9
Princeton_University_C	14
Hobart_&amp;_William_Smith_Colleges_KK	15
TCD_Hist_B	12
University_of_Bucharest_A	13
University_of_Zagreb_A	11
Monash_University_B	12
KNUST_Z	12
University_of_Alberta_Debate_Society_A	11
University_of_Western_Australia_A	11
Cornell_University_B	12
Oxford_A	12
University_of_Warsaw_A	12
University_of_Belgrade_A	13
Institut_Teknologi_Bandung_A	9
Monash_University_D	10
Haifa_University_A	10
Pontificia_Universidad_Cat\u00f3lica_del_Per\u00fa_A	11
Obuasi_Campus_-_Kwame_Nkrumah_University_of_Science_and_Technology_B	12
Ateneo_de_Manila_University_C	10
University_of_Queensland_(UQ)_A	10
Universitas_Indonesia_A	10
Atma_Jaya_Catholic_University_A	9
Vienna_B	9
National_Law_University_Delhi_A	11
Harvard_College_QR	12
University_of_New_South_Wales_A	12
London_School_of_Economics_and_Political_Science_B	12
Hebrew_University_of_Jerusalem_A	14
Johns_Hopkins_University_GY	12
Cambridge_Union_Society_A	11
Technion_A	11
Williams_College_A	12
Australian_National_University_B	12
University_of_Santo_Tomas_2	11
Queen&#x27;s_Debating_Union_(QDU)_A	12
Edinburgh_University_Debates_Union_B	10
Tel_Aviv_university_A	12
Oxford_C	11
University_of_St_Andrews_A	11
De_La_Salle_University_A	10
Edinburgh_University_Debates_Union_C	10
TCD_Hist_C	12
University_of_Belgrade_B	13
Higher_School_of_Economics_A	10
University_College_London_B	12
Sciences_PO_Campus_de_Reims_B	10
London_School_of_Economics_and_Political_Science_D	10
Swing_1	9
National_University_of_Singapore_C	11
Osaka_A	11
University_of_Malaya_2	7
King\u2019s_College_London_B	10
Sunway_University_JR	10
McGill_Debating_Union_B	9
Hart_House_B	9
IGNOU_Saidha_&amp;_Mishra	9
University_of_Asia_and_the_Pacific_A	8
Hart_House_A	11
Harvard_College_HM	12
University_of_Zagreb_B	9
University_of_Otago_A	10
Delhi_Technological_University_AC	10
Dr._Ram_Manohar_Lohiya_National_Law_University_A	13
Korea_University_Debate_Club_B	11
Cambridge_Union_Society_B	9
University_of_the_Philippines_Los_Ba\u00f1os_B	12
International_Islamic_University_Malaysia_2	11
Harvard_College_AW	13
University_of_Sydney_E	11
Ateneo_de_Manila_University_D	11
KNUST_B	10
Berlin_Debating_Union_A	10
Universidad_del_Rosario_B	11
Deen_Dayal_Upadhyaya_College_1	10
University_of_the_Philippines_Diliman_C	9
IIT_Bombay_MH	10
The_George_Washington_University_A	10
Maharashtra_National_Law_University,_Mumbai_A	9
Tel_Aviv_university_b	10
