og	oo	cg	co
Peking_University_A	Chittagong_University_A	Reichman_University_B	Shanghai_University_of_Finance_and_Economics_(SUFE)_2
UT_MARA_C	Monash_University_E	Nazarbayev_University_(NU)_B	Northeastern_University_at_Qinhuangdao_1
The_University_of_Tokyo_KM	KNUST_B	Oxford_C	Institut_Teknologi_Bandung_A
University_of_the_Philippines_Tacloban_A	Dhaka_University_A	University_of_Technology,_Jamaica_C	Premier_University,_Chittagong,_Bangladesh_Legacy
Ateneo_de_Manila_University_A	Princeton_University_A	Sofia_University_A	Vienna_A
University_of_Wollongong_A	Imperial_College_London_B	KNUST_Z	Deen_Dayal_Upadhyaya_College_1
Delhi_College_of_Arts_and_Commerce_A	University_Philosophical_Society_B	IBA_DU_B	International_Islamic_University_Malaysia_3
Pontificia_Universidad_Cat\u00f3lica_de_Valpara\u00edso_A	Higher_School_of_Economics_A	De_La_Salle_University_A	TCD_Hist_C
Tel_Aviv_university_A	Queen&#x27;s_Debating_Union_(QDU)_A	Cornell_University_A	University_of_Warsaw_A
University_of_Mataram_A	University_of_Malaya_2	TCD_Hist_D	TCD_Hist_E
London_School_of_Economics_and_Political_Science_D	The_George_Washington_University_A	Taylor\u2019s_University_A	University_of_Arts_in_Belgrade_A
Sunway_University_JR	University_of_Chicago_NK	Harvard_College_HM	Ateneo_de_Manila_University_C
Hebrew_University_of_Jerusalem_A	University_of_Sydney_D	University_of_New_South_Wales_A	University_of_Bucharest_A
London_School_of_Economics_and_Political_Science_A	Visoka_Skola_Pep_A	University_of_Sydney_B	BRAC_University_A
Institut_Teknologi_Bandung_B	National_University_of_Juridical_Sciences,_Kolkata_A	Universidade_Federal_do_Rio_Grande_do_Sul_-_UFRGS_A	Hobart_&amp;_William_Smith_Colleges_LP
International_Debate_Society_A	\u0130bn_Haldun_University_A	University_of_Auckland_A	Universitas_Gadjah_Mada_B
Maharashtra_National_Law_University,_Mumbai_A	University_of_St_Andrews_A	Cambridge_Union_Society_A	Royal_Institute_of_Colombo_1
University_Philosophical_Society_C	University_of_Energy_and_Natural_Resources_A	University_of_Ghana_B	Sciences_PO_Campus_de_Reims_A
Qatar_University_A	Split_debating_union_B	Jahangirnagar_University_A	Bangladesh_University_of_Engineering_and_Technology_D
University_of_Cape_Coast_A	San_Beda_University_-_Manila_B	University_of_Belgrade_C	Ateneo_de_Manila_University_e
De_La_Salle_University_C	Korea_University_Debate_Club_C	Universidad_del_Rosario_A	Qatar_University_B
Drexel_University_A	The_University_of_Hong_Kong_A	University_for_Development_Studies_A	Nazarbayev_University_(NU)_A
University_of_Zagreb_D	University_of_S\u00e3o_Paulo_A	University_of_Zagreb_E	Vienna_B
Swing_1	Queen&#x27;s_Debating_Union_(QDU)_B	Tel_Aviv_university_b	Berlin_Debating_Union_A
Shanghai_University_of_Finance_and_Economics_(SUFE)_1	University_of_Vermont_GH	University_of_Queensland_(UQ)_B	Mahidol_University_International_College_A
University_of_Alberta_Debate_Society_B	National_University_of_Singapore_B	University_of_Chicago_KL	Harvard_College_AW
UT_MARA_E	Yonsei_University_3	UT_MARA_A	Habib_University_B
Tel_Aviv_university_C	University_of_Ghana_C	Hebrew_University_of_Jerusalem_C	Korea_University_Debate_Club_A
Beijing_Foreign_Studies_University_EC	the_Chinese_University_of_Hong_Kong,_Shenzhen_XY	Nanjing_university_GC	Akenten_Appiah_Menka_University_of_Skills_Training_and_Entrepreneurial_Development_A
Yonsei_University_4	Peking_University_B	Split_debating_union_A	University_of_the_Philippines_Diliman_C
Swing_2	TCD_Hist_A	Mindanao_State_University_-_General_Santos_City_Campus_JK	Singapore_Management_University_SM
Debate_Society_by_the_University_of_London_students_1	University_of_Technology,_Jamaica_B	Sociedade_de_Debates_da_Universidade_Federal_do_Cear\u00e1_A	International_Islamic_University_Malaysia_1
Western_University_B	Obuasi_Campus_-_Kwame_Nkrumah_University_of_Science_and_Technology_B	Australian_National_University_C	Pontificia_Universidad_Cat\u00f3lica_del_Per\u00fa_A
Macau_University_of_Science_and_Technology_MUSTB	Monash_University_D	University_of_Ilorin_A	University_of_Asia_and_the_Pacific_A
Reichman_University_A	National_Law_University_Delhi_A	Glasgow_University_Union_B	Universitas_Indonesia_A
Bangladesh_University_of_Engineering_and_Technology_B	Universitas_Negeri_Yogyakarta_A	Beihang_University_1	Nanyang_Technological_University_C.
University_of_the_Philippines_Los_Ba\u00f1os_C	King\u2019s_College_London_B	Haifa_University_A	Dr._Ram_Manohar_Lohiya_National_Law_University_A
University_of_Queensland_(UQ)_A	Williams_College_A	Bates_College_AM	Delhi_Technological_University_AC
Monash_University_B	University_Philosophical_Society_A	Harvard_College_QR	Hart_House_A
The_University_of_Tokyo_SS	Korea_University_Debate_Club_B	University_of_Santo_Tomas_2	The_Open_University_of_Israel_A
University_of_Aberdeen_DW	Royal_Institute_of_Colombo_2	Yonsei_University_2	E\u00f6tv\u00f6s_Lor\u00e1nd_University_A
King\u2019s_College_London_A	University_of_Sydney_A	Trivium_A	London_School_of_Economics_and_Political_Science_C
\u0130bn_Haldun_University_Peace_and_Ezeri	Johns_Hopkins_University_AL	Indian_institute_of_Technology,_Kanpur_IITK	Fulbright_University_Vietnam_A
Shanghai_International_Studies_University_2	Diplomatic_Academy_of_Vietnam_C	University_of_Nottingham_Debating_Union_A	Khulna_University_of_Engineering_&amp;_Technology_1
Western_University_A	Osaka_A	University_of_Western_Australia_A	Monash_University_A
Harvard_College_HT	University_of_the_Philippines_Los_Ba\u00f1os_B	Princeton_University_C	McGill_Debating_Union_A
